GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PRNP	0.4110871107	5.5880938855	2.0249152387	0.0528135786	0.5529443127	-4.153875685
MIR3178	-0.4835554294	5.3983157435	-2.0226771298	0.0530584586	0.5529443127	-4.1576805867
PHYHD1	-0.4292845407	5.7874451164	-2.0224683105	0.0530813573	0.5529443127	-4.158035436
SMAD9	0.4400910575	7.9030273925	2.0222266779	0.0531078651	0.5529443127	-4.1584460122
KCNK9	0.4501110629	3.4410066766	2.021848745	0.0531493489	0.5529443127	-4.1590881156
MFI2	0.49671524	4.9679771386	2.0218215442	0.0531523357	0.5529443127	-4.1591343261
GAP43	0.4105225356	6.1916467176	2.0212571654	0.0532143411	0.5529443127	-4.1600930287
NDUFB2-AS1	-0.4200708776	3.5281395333	-2.0206198304	0.0532844384	0.5529443127	-4.161175429
SEPT6	0.4241384823	6.8911714366	2.0204444072	0.0533037466	0.5529443127	-4.1614733109
HIST2H4B	0.3943816492	9.0800539916	2.0198270609	0.0533717447	0.5529443127	-4.1625214637
EMID1	0.4227450964	3.4044491807	2.0191403977	0.0534474677	0.5529443127	-4.1636870339
ESPNP	0.5285047756	3.7555386148	2.0178391285	0.0535912273	0.5529443127	-4.1658950773
OTTHUMG00000170825	0.4917581306	4.4190984847	2.0176045176	0.0536171825	0.5529443127	-4.1662930648
SNORD109A	0.4092316239	4.4706336475	2.0167844357	0.053707996	0.5529443127	-4.1676839667
PDGFRB	-0.4691116819	5.0110709629	-2.0160873727	0.0537852933	0.5529443127	-4.1688659012
CSF1	0.4042513275	3.7055502576	2.0158186106	0.0538151225	0.5529443127	-4.1693215334
MSH5	0.4104216804	4.3201169167	2.0155418458	0.0538458551	0.5529443127	-4.1697906866
LOC729739	-0.638881918	3.6406362063	-2.0153597922	0.0538660792	0.5529443127	-4.1700992664
QRFPR	-0.4154230845	3.7078725065	-2.0150543527	0.0539000251	0.5529443127	-4.1706169393
ENPP2	-0.6180394074	7.8277811135	-2.0148911159	0.0539181747	0.5529443127	-4.1708935773
LRCOL1	-0.4064326969	3.594584789	-2.0146508502	0.0539448985	0.5529443127	-4.171300727
XPNPEP3	0.5772834776	3.3951202886	2.0145515547	0.0539559461	0.5529443127	-4.1714689811
CENPE	-0.4520119231	7.7118264819	-2.014107615	0.0540053634	0.5529443127	-4.1722211538
ZNF512B	0.3878671899	6.779648274	2.013459415	0.0540775896	0.5529443127	-4.1733191925
SGSM1	0.4446944662	4.3290524558	2.0130574999	0.054122416	0.5529443127	-4.1739999007
ZNF433	0.4030179999	3.7495368802	2.0124226163	0.0541932927	0.5529443127	-4.1750749788
VHL	0.378915147	6.1670618398	2.0102498935	0.0544364683	0.5529950884	-4.1787522965
OTTHUMG00000164478	-0.4222537297	3.4354605675	-2.0098613046	0.0544800612	0.5529950884	-4.1794096775
BTBD17	0.5014501808	3.7107202556	2.0079753641	0.0546920675	0.5529950884	-4.182598842
PTPN20B	-0.4416212992	3.6510208572	-2.0070742897	0.0547936172	0.5529950884	-4.1841218123
LRRC27	0.3947265788	3.9728366482	2.0069471367	0.0548079605	0.5529950884	-4.184336683
BCRP3	-0.6537275361	5.1601576429	-2.0051534639	0.0550106454	0.5529950884	-4.1873666848
ZEB2	-0.6732259388	3.5898223478	-2.0040809692	0.0551321522	0.5529950884	-4.1891774827
ADAMTS4	-0.3916394248	5.1204710036	-2.0034063391	0.0552087043	0.5529950884	-4.1903161669
TPD52L2	0.4310616628	5.4041003253	2.0033992587	0.0552095083	0.5529950884	-4.1903281162
KCNJ12	-0.4581294657	4.2199016431	-2.0029133946	0.0552646993	0.5529950884	-4.1911480148
SULT4A1	0.3813172453	5.7134700406	2.0021429163	0.0553523202	0.5529950884	-4.1924479058
TPCN2	0.4293490019	5.0975140787	2.0021262645	0.0553542152	0.5529950884	-4.1924759954
ZNF621	0.3600342206	6.2697982561	2.001521631	0.0554230634	0.5529950884	-4.1934958257
XK	0.3852806147	3.5267763501	2.00132079	0.0554459494	0.5529950884	-4.1938345333
UTP11L	-0.3823462525	7.2818264496	-2.001028322	0.0554792911	0.5529950884	-4.1943277204
HIST1H3B	-0.4393594277	6.5564845294	-2.0008940938	0.0554945992	0.5529950884	-4.1945540512
ZFP3	0.5151815986	4.8245758868	2.0003644475	0.0555550392	0.5529950884	-4.1954470145
NEK2	-0.4242492327	6.1441452235	-2.0002746329	0.0555652941	0.5529950884	-4.1955984214
LOC100506544	0.4880531885	4.0873303402	2.000270012	0.0555658217	0.5529950884	-4.1956062111
ACE	0.4778228536	3.9102965046	1.9993993622	0.0556653177	0.5532686109	-4.1970736698
EAF2	-0.4271517625	4.9635262153	-1.99849633	0.0557686799	0.553579803	-4.1985952184
ARHGEF26	-0.3731258972	4.6967431176	-1.9954942117	0.0561135201	0.5535819469	-4.203649996
ZNF263	0.4744192774	5.0328243154	1.9951172059	0.0561569573	0.5535819469	-4.2042843843
NEFM	0.4513302805	6.7935177422	1.9947103486	0.0562038671	0.5535819469	-4.204968906
KRBA2	0.4398317776	4.6775311079	1.9926839444	0.0564380203	0.5535819469	-4.2083767405
CDK2AP2	0.4919768822	4.175271396	1.9918356261	0.0565362987	0.5535819469	-4.2098026218
ARHGEF28	0.4157170947	7.870320884	1.9911462697	0.056616272	0.5535819469	-4.2109609894
PCBP3	0.4116329324	5.1173829431	1.991010064	0.0566320852	0.5535819469	-4.2111898294
OTTHUMG00000017631	0.401960301	3.6120628797	1.9907345735	0.0566640809	0.5535819469	-4.2116526482
MIR4737	-0.3856502619	10.1826018356	-1.9906165331	0.056677795	0.5535819469	-4.2118509396
FABP5	-0.3923203735	5.1719127509	-1.9902113462	0.0567248926	0.5535819469	-4.2125315316
ZNF783	0.3984148805	6.791021893	1.9900342715	0.056745486	0.5535819469	-4.2128289322
CEP70	-0.4144901607	6.5351107176	-1.9899413043	0.0567563005	0.5535819469	-4.2129850648
APMAP	0.3840315982	7.1769645989	1.9897788592	0.0567752015	0.5535819469	-4.2132578685
C1orf122	-0.483956943	3.5812803736	-1.9897579424	0.0567776356	0.5535819469	-4.213292994
RNF25	-0.3831060544	6.7069524057	-1.9884437041	0.05693076	0.5537139003	-4.2154994583
SUSD2	-0.5327766036	5.5320659509	-1.9879464427	0.0569887914	0.5537139003	-4.2163340295
LRRTM2	0.5226951786	4.8461571208	1.9877872599	0.0570073793	0.5537139003	-4.2166011595
LNPEP	0.3987468773	6.4332007372	1.984641458	0.0573758112	0.5552944317	-4.2218770339
HRH3	-0.4334124729	6.8040198592	-1.9816328118	0.0577301337	0.5552944317	-4.2269171782
ARID3A	-0.4286070598	6.3306170309	-1.9815781072	0.0577365938	0.5552944317	-4.2270087687
OTTHUMG00000175906	0.397595483	6.2432477034	1.9802468632	0.0578939991	0.5552944317	-4.2292370685
FAM64A	-0.4212512752	6.5684911419	-1.9798164447	0.057944972	0.5552944317	-4.2299572895
HLA-DRB6	0.4419278263	3.65065273	1.9796050526	0.0579700207	0.5552944317	-4.2303109708
LOC100652869	-0.4321526445	3.8266270842	-1.979199112	0.0580181491	0.5552944317	-4.230990075
NASP	-0.3906653664	7.7188296724	-1.9782795554	0.0581273014	0.5552944317	-4.2325280388
CA14	-0.5085744195	3.6066058052	-1.9781294726	0.0581451335	0.5552944317	-4.2327790036
ZNF786	0.4000685876	5.8528265432	1.976680574	0.0583175311	0.5552944317	-4.2352010999
ACVR1	0.3930961082	4.6889826508	1.9765091062	0.0583379629	0.5552944317	-4.2354876534
ZNF730	-0.3996808772	4.4339562456	-1.9757537534	0.0584280441	0.5552944317	-4.2367497676
C6orf47-AS1	-0.4227645897	3.9382939857	-1.9755238293	0.0584554884	0.5552944317	-4.2371338762
FN3K	0.3971219462	4.9141558665	1.975281726	0.0584843986	0.5552944317	-4.237538296
NHLH1	0.5780894677	4.8617154463	1.9752696935	0.0584858358	0.5552944317	-4.2375583946
FGF14-IT1	0.5182497427	6.5342688903	1.9752449325	0.0584887934	0.5552944317	-4.2375997542
ZRSR2	-0.4001045214	5.3572093964	-1.9748957617	0.0585305136	0.5552944317	-4.2381829521
FAM86EP	0.4513804582	4.8811980992	1.9746133642	0.0585642747	0.5552944317	-4.2386545677
OTTHUMG00000149070	-0.514880539	4.1219383688	-1.9742867343	0.0586033451	0.5552944317	-4.2391999917
COX7B	-0.417070733	6.2975756342	-1.9741841815	0.0586156168	0.5552944317	-4.2393712261
SNORD11	-0.4342133282	7.1341654488	-1.9731312926	0.0587417387	0.5558039142	-4.2411288794
LOC100130876	-0.4712870754	5.4991830896	-1.9720958362	0.0588660043	0.5562326115	-4.2428567617
RNU105B	0.4921189918	6.1111201176	1.9710133895	0.0589961555	0.5562326115	-4.244662347
ATP5L2	-0.4005875051	3.2776849061	-1.9709462184	0.0590042403	0.5562326115	-4.2447743685
AIF1L	-0.4098911301	4.4898842119	-1.9702501659	0.0590880755	0.5563402989	-4.2459350126
FAM110D	-0.3913811638	3.5017586191	-1.9692417129	0.0592097225	0.5568033023	-4.2476160411
SDK2	0.4262205636	4.7189559961	1.9668017155	0.059504961	0.5568558041	-4.2516807535
KIF20B	-0.4193149643	7.6170842808	-1.9667985638	0.0595053432	0.5568558041	-4.2516860014
PPAPDC1A	0.4716314839	4.9653456218	1.966489049	0.0595428865	0.5568558041	-4.2522013471
GZF1	0.3930271057	4.6125321437	1.9663140671	0.0595641206	0.5568558041	-4.2524926679
OTTHUMG00000019961	-0.7299060486	3.1787443782	-1.965590288	0.0596520216	0.5568558041	-4.2536974574
NBPF1	0.3664621937	6.5990999222	1.9642140838	0.0598194712	0.5568558041	-4.255987364
MIR3190	0.6379929418	3.5388422908	1.9641060104	0.0598326385	0.5568558041	-4.2561671406
GALR2	0.5782122339	3.6181050317	1.9641034805	0.0598329467	0.5568558041	-4.2561713489
UTRN	-0.4200046764	3.8529173287	-1.9637120142	0.0598806629	0.5568558041	-4.2568224789
LOC100129034	0.4557048204	4.5675309768	1.9632248116	0.059940095	0.5568558041	-4.2576327151
TPRKB	-0.4122872383	6.1101925316	-1.9626209748	0.0600138266	0.5568674271	-4.2586367134
LINC00893	0.5120269476	4.1723049482	1.9612142262	0.0601859058	0.5577190204	-4.2609748311
LOC100996378	-0.3951972681	3.5190561066	-1.9604269749	0.0602823939	0.5577190204	-4.2622827617
MIR891A	-0.5606682683	3.8492504093	-1.9596131609	0.0603822799	0.5577190204	-4.2636344175
HSPA14	-0.4049424849	7.2051641199	-1.9593654107	0.0604127171	0.5577190204	-4.2640458214
EID3	0.3756559379	5.5441248709	1.9588466881	0.0604764878	0.5577190204	-4.2649070671
RPS6KA1	-0.3838325582	4.0674496341	-1.9577484591	0.0606116962	0.5577190204	-4.2667299255
APLN	-0.3945407776	3.742002325	-1.9574142331	0.0606528969	0.5577190204	-4.2672845299
LOC728739	0.4263205916	4.2703972287	1.9571431354	0.0606863336	0.5577190204	-4.26773433
MRGPRE	0.431559733	4.2790095403	1.9550660581	0.0609430522	0.5594091639	-4.2711790544
PROX1	-0.4119499862	6.0825417117	-1.9542792985	0.0610405404	0.5595770481	-4.2724831506
C6orf70	-0.456083053	6.6041500141	-1.9529687091	0.0612032395	0.5595770481	-4.2746546641
ZNF720	0.4074540955	3.8857023816	1.9523197937	0.0612839374	0.5595770481	-4.2757294535
CD9	0.4705057276	4.8854864578	1.9517862233	0.0613503609	0.5595770481	-4.2766130013
ZNF808	0.4708967751	4.2983193889	1.9513112256	0.0614095457	0.5595770481	-4.2773994077
CSRNP3	0.4270101063	4.1944357775	1.9503329874	0.0615315916	0.5595770481	-4.2790185348
MORC3	0.456128541	5.2319368533	1.9500502575	0.0615669047	0.5595770481	-4.2794863824
CCND1	0.3787998654	7.8637493411	1.9498141871	0.0615964036	0.5595770481	-4.279876982
GUSBP3	0.3861966071	6.944826504	1.9490496552	0.0616920227	0.5595770481	-4.2811417285
OTTHUMG00000164332	0.6009142852	4.3460905446	1.9487758671	0.0617262966	0.5595770481	-4.2815945604
OTTHUMG00000178158	-0.3856579187	7.0315702778	-1.948486759	0.0617625064	0.5595770481	-4.28207268
OTTHUMG00000032768	0.4550608558	8.4446245326	1.9474267699	0.0618954252	0.560120791	-4.2838252147
ZNF585B	-0.4335035097	4.2316360571	-1.9447535678	0.0622317453	0.5620511033	-4.2882418292
CEBPB	0.4053601287	4.9383540963	1.9445688632	0.0622550422	0.5620511033	-4.2885468291
RGL4	-0.3886775958	3.9366231639	-1.9438208059	0.0623494728	0.5622429568	-4.2897818659
RNU12	-0.421043522	7.7227968894	-1.9430652101	0.0624449819	0.5624440751	-4.2910289919
FBP1	0.4360453629	4.0273081368	1.9420907021	0.0625683507	0.5627376093	-4.2926369076
LOC100216546	0.42910664	5.2801893116	1.9416511932	0.0626240604	0.5627376093	-4.2933618919
CNTNAP3B	0.4018945297	3.7905130345	1.9407194934	0.0627423006	0.5631414666	-4.2948983597
MRPS9	-0.4126986776	6.9698003689	-1.9382489093	0.0630567815	0.5653036786	-4.2989699613
PITPNC1	0.4069993373	6.7130760593	1.9360778798	0.0633342667	0.5671295696	-4.3025447161
TMEM114	-0.5019627213	3.4620562337	-1.9353617263	0.0634260335	0.5672901229	-4.3037232626
TLX3	-0.391438305	4.3446647078	-1.9347539104	0.0635040091	0.5673270957	-4.3047232686
LRRC24	0.3759314213	3.6004031605	1.932862724	0.0637471611	0.5678805727	-4.3078332432
ALG1L2	-0.5820108565	3.5714392554	-1.9328241716	0.0637521263	0.5678805727	-4.3078966174
SCARNA7	-0.4382172285	8.225695317	-1.9318427655	0.063878635	0.5678805727	-4.3095095844
SNRPN	0.396654326	6.3005395791	1.9318131721	0.0638824532	0.5678805727	-4.3095582125
CACNG3	0.419266187	3.8833844472	1.9314019299	0.0639355324	0.5678805727	-4.3102339115
SYBU	0.4390942926	5.0319779697	1.9304396832	0.0640598803	0.5679943966	-4.3118145311
JRKL	-0.4086657705	4.0910625443	-1.9301588986	0.0640962049	0.5679943966	-4.3122756475
FAM124B	-0.4434322672	4.2316704818	-1.9288541013	0.0642652396	0.5688177821	-4.314417787
OPA3	-0.4070687266	4.4428881908	-1.928299594	0.0643371928	0.5688177821	-4.3153278186
OTTHUMG00000002202	0.5339961689	5.1014316666	1.9270026475	0.0645057597	0.5693954981	-4.3174555478
GMNN	-0.4049958395	7.124912141	-1.9266569265	0.0645507587	0.5693954981	-4.3180225471
AIG1	-0.4000159407	5.5817035921	-1.9239861457	0.0648993097	0.5718135281	-4.3224002082
SCG2	0.3991794075	6.524279963	1.9231559461	0.0650079886	0.5721149787	-4.323760063
LOC96610	0.4440977432	4.3769313668	1.9191855691	0.0655299325	0.5749948951	-4.3302574404
MIR3935	0.3580523966	6.0466950804	1.9191077797	0.065540195	0.5749948951	-4.3303846402
GGTLC2	-0.4057486006	5.1110600856	-1.9189596136	0.0655597459	0.5749948951	-4.3306269076
RASA4B	0.4403634343	4.8338402054	1.9177628225	0.0657178519	0.5751290351	-4.3325832788
SYT10	-0.424969037	4.9579504658	-1.9171734509	0.0657958346	0.5751290351	-4.3335463788
NELL1	0.4048486643	5.7936375202	1.9171449152	0.0657996124	0.5751290351	-4.3335930038
NPTXR	0.3900904184	3.8970600398	1.9159940247	0.0659521322	0.5758070817	-4.3354730318
SNORD114-3	1.0531554144	3.8055995061	1.9150959392	0.0660713631	0.5759207699	-4.3369395075
CACNA1C-AS2	0.3884295668	3.7747656558	1.9147670423	0.0661150747	0.5759207699	-4.337476432
DKFZp434J0226	0.4735246414	3.9435220117	1.9131704312	0.0663276279	0.5760353905	-4.3400819227
PCGF1	-0.4353885545	6.4043654831	-1.9123981546	0.0664306523	0.5760353905	-4.3413416095
PIEZO1	0.4508206497	3.4790323432	1.9120435505	0.0664780044	0.5760353905	-4.3419198892
ATPAF1	-0.3655347684	6.0600691359	-1.9120393305	0.0664785681	0.5760353905	-4.3419267706
FER1L4	0.709990022	5.0489681201	1.9118556348	0.0665031096	0.5760353905	-4.3422263052
CIR1	-0.414896017	5.4132498408	-1.9100607776	0.0667433152	0.5761795242	-4.3451518705
TRIAP1	-0.3830509244	5.858326916	-1.909917369	0.0667625401	0.5761795242	-4.3453855338
MAGI2-IT1	0.4263515949	3.5479171526	1.9093889174	0.066833424	0.5761795242	-4.3462464551
LINC00310	0.3879675617	4.1298553658	1.9080853777	0.0670085543	0.5761795242	-4.3483693414
ZNF568	0.4173508696	4.5838501479	1.9080062626	0.0670191962	0.5761795242	-4.3484981498
HEATR5A	0.4085358786	5.9841708115	1.9079487864	0.0670269284	0.5761795242	-4.3485917251
SLC7A11	0.6144646134	6.8378459325	1.9074729639	0.0670909696	0.5761795242	-4.3493663169
FAR1-IT1	0.4412913718	5.5577765751	1.9067077303	0.0671940743	0.5761795242	-4.3506117379
FZD5	0.4571817332	5.2028921033	1.9067031148	0.0671946966	0.5761795242	-4.3506192486
STARD4	0.3863737544	7.6287873371	1.9059829185	0.0672918596	0.5763694063	-4.3517910276
LOC100128398	0.3932472613	3.8188030734	1.9046410213	0.0674732232	0.577018768	-4.3539734472
LOC100128288	0.4924018395	4.3115870108	1.9041857468	0.067534852	0.577018768	-4.3547136302
UGP2	-0.4036668369	4.4674149725	-1.9037566399	0.0675929834	0.577018768	-4.3554111486
MYO18B	0.4177151016	4.2358900786	1.9027786827	0.0677256302	0.5773399173	-4.35700039
RASGEF1A	0.4592877351	3.9999997038	1.9022038839	0.0678036995	0.5773399173	-4.3579341885
MINOS1P1	0.4138975933	4.3129277672	1.9018188485	0.0678560387	0.5773399173	-4.3585595856
TMSB15A	-0.551675175	7.4773303617	-1.9009746015	0.067970923	0.5774245504	-4.3599305291
CHRNG	-0.3776560236	3.7522884838	-1.8998730294	0.0681210778	0.5774245504	-4.3617186481
FAM90A10P	-0.3977998523	4.6485328766	-1.8995380004	0.0681668025	0.5774245504	-4.3622623274
GRIA2	0.3980321736	6.2583867948	1.8994549114	0.0681781466	0.5774245504	-4.3623971517
NRG1	0.3756766034	3.8114887679	1.8989891549	0.0682417665	0.5774245504	-4.3631528292
DISP2	0.4139926693	5.1466227516	1.8984293616	0.0683182994	0.5774361874	-4.3640608949
EPHA7	-0.3961892019	7.8105314702	-1.8977304515	0.0684139564	0.5776092608	-4.3651943463
TBC1D4	-0.366951381	6.5232971921	-1.8963963807	0.0685968681	0.5778861075	-4.3673569949
HIST1H2AI	-0.4225125671	9.9289803504	-1.8961142551	0.0686356041	0.5778861075	-4.3678141997
RN7SL1	0.4275265703	11.2117376343	1.8958464186	0.0686723957	0.5778861075	-4.3682482006
OTTHUMG00000018022	-0.4725898716	3.6808412638	-1.8946684493	0.0688344118	0.5786157394	-4.3701564302
PTPRO	0.4392018333	3.607929409	1.8924827707	0.0691359052	0.5805149282	-4.3736947199
MORN2	-0.4446685103	5.4406685168	-1.891042911	0.0693351451	0.5806723874	-4.3760239627
C16orf52	0.3851440384	4.9390382406	1.8908494866	0.069361948	0.5806723874	-4.3763367613
MIR4533	0.4130251375	5.8047637301	1.8906520877	0.0693893109	0.5806723874	-4.3766559626
ZMYND10	0.3684693182	3.6877966451	1.8901642555	0.0694569731	0.5806723874	-4.3774446976
FGF14	0.4589783068	7.2785413407	1.8880326483	0.0697532977	0.5822971611	-4.3808893194
TFAP2C	0.3729778506	6.1304516175	1.8876765972	0.0698029006	0.5822971611	-4.3814644036
LOC100287834	1.041677793	7.6185997721	1.8846911782	0.0702200157	0.5829398074	-4.3862831607
ENPEP	0.6240316525	3.804451781	1.884594575	0.0702335488	0.5829398074	-4.3864389917
MIR1282	-0.4893773155	6.5654778997	-1.8841961855	0.0702893831	0.5829398074	-4.3870815719
TAB3-AS2	-0.3494975104	5.6221156816	-1.8839922159	0.0703179843	0.5829398074	-4.3874105239
ENTPD4	0.4311122585	3.4774688426	1.8836011479	0.0703728491	0.5829398074	-4.388041144
NRP1	0.4045980459	6.971532159	1.8832781201	0.0704181963	0.5829398074	-4.388561971
C2orf43	-0.4140124692	7.1948528077	-1.8832462743	0.0704226682	0.5829398074	-4.3886133131
NRARP	-0.3682405869	5.5723515752	-1.8827888442	0.0704869297	0.5829398074	-4.3893507162
MTMR9	0.3889654188	5.6489528696	1.8819314049	0.0706075229	0.583022958	-4.3907325927
ADCY1	0.3772478695	7.3540295052	1.8816385382	0.0706487536	0.583022958	-4.3912044774
CERS5	0.3738483326	5.6581911531	1.8787338027	0.0710588212	0.5857778149	-4.3958817643
LRG1	-0.4142033569	3.7856780376	-1.8769411348	0.0713129226	0.5866442711	-4.3987656476
KCNK3	-0.3792747937	6.5855521609	-1.8769149463	0.0713166405	0.5866442711	-4.3988077619
SLC30A3	0.3980195784	4.202359828	1.873954396	0.0717380237	0.5894793969	-4.4035658273
LINC00328	0.623843781	3.8507366936	1.8729702485	0.0718785762	0.5899192401	-4.4051462486
LINC00891	0.3870431595	3.8439406594	1.8725049163	0.0719451162	0.5899192401	-4.4058932972
TGDS	-0.3768589803	6.1086101478	-1.8691543217	0.0724258076	0.5932275903	-4.4112682263
HMBOX1-IT1	0.4738999734	4.3353241222	1.8679673106	0.0725967662	0.5939946272	-4.4131706485
LHX2	-0.4241152662	4.447860565	-1.8666413369	0.0727881511	0.5949269842	-4.415294704
TEX35	0.4268628497	4.0420257996	1.8656018763	0.0729384867	0.5950921483	-4.4169590001
ZDHHC13	0.3942547369	6.4363593544	1.8652893613	0.0729837377	0.5950921483	-4.4174592352
IL21R-AS1	0.3678657373	3.4632331121	1.8645365807	0.0730928371	0.5950921483	-4.418663932
UNC5B	0.5137347836	5.4583619031	1.8637745402	0.0732034219	0.5950921483	-4.4198830725
MIR500B	0.3858690832	3.9394913071	1.8622782605	0.0734209775	0.5950921483	-4.4222757763
LINGO2	0.39299499	6.4397610288	1.8622250146	0.0734287296	0.5950921483	-4.422360895
IGHM	0.9911271116	4.5962391682	1.8618053217	0.0734898578	0.5950921483	-4.4230317505
LOC401180	-0.3848096503	3.7662831629	-1.8611333102	0.0735878275	0.5950921483	-4.4241056841
AATK	0.3649379972	4.0956801496	1.8610051923	0.0736065181	0.5950921483	-4.4243103945
NUFIP1	-0.3645069749	7.3500647519	-1.8609565291	0.0736136184	0.5950921483	-4.4243881471
ADPRHL1	-0.3616098621	5.3572711428	-1.8605859479	0.0736677085	0.5950921483	-4.4249802001
HIST1H2AE	-0.3727574464	7.4149677955	-1.8601059019	0.073737827	0.5950921483	-4.4257470047
ZNF37A	0.3799482161	5.6375767475	1.8590251338	0.0738959018	0.5957420915	-4.4274728268
ZNF132	0.5900112242	4.6668334303	1.8571010392	0.0741780465	0.597180062	-4.4305434282
UGT3A2	-0.6561726669	3.4375092252	-1.8567493167	0.0742297227	0.597180062	-4.4311044699
LOC100128508	0.4603892048	5.209814432	1.854103154	0.0746195017	0.5984251261	-4.435322843
OR11H12	0.4501351238	4.6714771213	1.853383578	0.0747257998	0.5984251261	-4.4364691622
TUBB2A	0.4498237113	5.6238129328	1.8531908416	0.0747542936	0.5984251261	-4.4367761431
DNAJB8-AS1	-0.431263704	5.2101537764	-1.852401802	0.0748710416	0.5984251261	-4.4380326327
ITCH-IT1	0.4041813914	4.108979761	1.8522023804	0.0749005733	0.5984251261	-4.4383501331
KLHL30	-0.3909651486	4.1030240629	-1.8519115139	0.0749436648	0.5984251261	-4.4388131768
MIR548K	0.4755926083	3.9122157799	1.8518942408	0.0749462245	0.5984251261	-4.4388406728
IFT88	-0.3992049016	5.7246235084	-1.8514802138	0.0750076007	0.5984251261	-4.4394996813
LOC643401	0.7047191973	4.5556947491	1.849965871	0.0752324594	0.5995964584	-4.4419091115
BVES-AS1	0.3767016612	4.6949575233	1.8473045827	0.0756290313	0.5999134922	-4.4461397786
LOC100144602	0.3712739119	3.5095114306	1.8470069127	0.0756735004	0.5999134922	-4.4466126979
EPB41L4B	0.3578787407	4.824800404	1.8462612412	0.0757849956	0.5999134922	-4.4477971191
SNORA74B	-0.455472893	5.8697074811	-1.8454404474	0.075907887	0.5999134922	-4.4491004427
OTTHUMG00000155834	0.3733247108	6.3066263287	1.8451289435	0.075954571	0.5999134922	-4.4495949584
ATRAID	-0.3633528409	6.8551210761	-1.8441718941	0.0760981556	0.5999134922	-4.4511138862
TNFRSF19	0.386182463	4.9171708126	1.8440167162	0.0761214587	0.5999134922	-4.4513601117
DYNC2LI1	-0.4026153001	5.3939745032	-1.8412448962	0.0765387399	0.5999134922	-4.4557555778
ZNF883	0.3776761181	6.4996053324	1.8407073978	0.0766198847	0.5999134922	-4.456607342
LOC728175	-0.3919658329	3.8012299938	-1.8406584248	0.0766272817	0.5999134922	-4.4566849391
PMEL	-0.5039201064	4.2243427132	-1.8400829211	0.0767142533	0.5999134922	-4.4575967006
TMX4	0.3945969784	7.4342126684	1.8399424728	0.0767354911	0.5999134922	-4.4578191777
ZNF443	-0.404460102	5.2712430734	-1.8396712143	0.0767765237	0.5999134922	-4.4582488276
PRKD3	-0.3611016903	6.8151089417	-1.8390589276	0.076869212	0.5999134922	-4.4592184591
MIPEP	-0.3974238132	5.5477994928	-1.837933169	0.0770398813	0.5999134922	-4.4610005932
MIF4GD	0.4706744047	5.2970948537	1.8378773361	0.0770483543	0.5999134922	-4.461088958
PTPRN	0.3769400186	4.7479902181	1.8376084266	0.0770891741	0.5999134922	-4.4615145223
OTTHUMG00000167267	0.3475953959	4.999466459	1.8369754524	0.0771853314	0.5999134922	-4.4625160518
DIRAS2	0.4310920648	4.4507511318	1.8369494649	0.0771892815	0.5999134922	-4.4625571651
GPR83	0.4196855182	4.8713645383	1.8369325021	0.0771918599	0.5999134922	-4.4625840007
CPNE2	0.4654745548	6.1028249517	1.8360380243	0.077327929	0.5999134922	-4.4639988219
SGPP2	0.4473340343	6.4602091459	1.8354835112	0.0774123857	0.5999134922	-4.4648756465
ZNF346-IT1	0.3780393844	4.715946112	1.8352333696	0.0774505103	0.5999134922	-4.465271117
LOC728485	0.3614816416	4.6436649218	1.8348771922	0.0775048238	0.5999134922	-4.4658341575
ZCCHC12	0.3853912542	3.6854240928	1.8347391798	0.0775258781	0.5999134922	-4.4660523033
LOC389607	-0.4396989611	4.2503797399	-1.8337426676	0.0776780458	0.5999134922	-4.467627042
RXRA	-0.3695070196	5.3342121694	-1.8333528308	0.0777376439	0.5999134922	-4.4682429035
OTTHUMG00000168930	0.3911018343	6.0610908581	1.8329190805	0.0778040016	0.5999134922	-4.4689280218
FOXN2	-0.3731150869	7.6468662967	-1.8328413855	0.077815893	0.5999134922	-4.4690507295
IL10RB-AS1	0.4145890521	4.7651165481	1.8322164888	0.0779115917	0.5999134922	-4.4700375175
RIMBP3	0.5145733349	4.0214466307	1.8321275658	0.0779252178	0.5999134922	-4.4701779169
PCAT1	0.4427696415	3.2945439383	1.832052633	0.0779367018	0.5999134922	-4.4702962232
ARRDC3-AS1	0.3968296932	4.079276582	1.8320311733	0.0779399909	0.5999134922	-4.4703301037
C6orf120	-0.3895827921	6.722250749	-1.8319497789	0.0779524672	0.5999134922	-4.4704586065
ELF4	0.4372824142	4.2809397024	1.831606196	0.0780051515	0.5999134922	-4.4710009956
COL6A2	0.4187509786	4.562553733	1.8303139259	0.0782035793	0.5999166705	-4.4730403099
OTTHUMG00000020320	-0.4169638118	3.9047817597	-1.82979992	0.0782826253	0.5999166705	-4.4738511493
LSM7	-0.3592727668	6.1301262556	-1.8290918193	0.0783916325	0.5999166705	-4.4749678861
MIR1208	0.3970242906	3.50346168	1.827916741	0.0785728155	0.5999166705	-4.4768203563
TERC	-0.3728459786	8.375705361	-1.8277501014	0.0785985384	0.5999166705	-4.4770829839
RTN1	0.4356190264	4.9365489519	1.8254696937	0.0789512757	0.5999166705	-4.4806751127
HP09025	0.4196796559	3.620355855	1.8252922972	0.0789787726	0.5999166705	-4.4809544058
